name,test_score,train_score
ExtraTreesRegressor,0.6478513009859596,0.020065784187275865
RandomForestRegressor,0.6275226679477669,0.09842504636471591
BaggingRegressor,0.6767466933118869,0.13063191997775175
HistGradientBoostingRegressor,0.5181092698807247,0.4637226883107557
GradientBoostingRegressor,0.557807263122087,0.5477320195001092
DecisionTreeRegressor,1.3340656587743598,0.020065784187275865
SVR,4.5327531962028775,4.528764556871184
NuSVR,4.100299022585677,4.098317900278126
ExtraTreeRegressor,1.2562461461669148,0.020065784187275865
MLPRegressor,1.2826393764399795,1.2829477204776267
KNeighborsRegressor,0.6882050668109498,0.4467871442974237
LinearSVR,0.8794482577386127,0.8758236442062579
HuberRegressor,0.77473064996938,0.773426009371569
TheilSenRegressor,1.4442949864329189,1.429135742720709
BayesianRidge,0.7375266833773482,0.7367056933062436
LinearRegression,0.7375273498770168,0.7367052977538134
SGDRegressor,1.0121152437696858e+29,1.0014881627628543e+29
ARDRegression,0.7387341595601974,0.7377381014349755
RANSACRegressor,1.4867991948142794,1.4641409173198117
PLSRegression,0.7781625061739487,0.7773502063730566
PassiveAggressiveRegressor,1.0171080176369636,1.04070461603013
TweedieRegressor,0.7693996530136215,0.7679639529622057
AdaBoostRegressor,1.1471714517321616,1.022864366258386
ElasticNet,0.9385847250350722,0.9367961104643554
XGBRegressor,0.5347509869446455,0.40074707528110115
LGBMRegressor,0.5252279630818475,0.4706413811897553
CatBoostRegressor,0.5240412827300678,0.41252438716370576
WeightKNN,0.6882050668109498,0.4467871442974237
Multilayer Perceptron,0.39531675974527997,0.39153327697362655
