name,test_score,train_score
ExtraTreesRegressor,0.3886487971876712,0.02980304996395921
RandomForestRegressor,0.38177410558310865,0.15323261201480048
BaggingRegressor,0.39963091932740225,0.16697537755742456
HistGradientBoostingRegressor,0.33443170120985183,0.32995433163645926
GradientBoostingRegressor,0.35685441435360754,0.3538035670152685
DecisionTreeRegressor,0.5144877762326496,0.029803049963958612
SVR,1.984687594000065,1.9843266923122052
NuSVR,1.8749398272189435,1.8745733069009163
ExtraTreeRegressor,0.5086751425563966,0.029803049963958612
MLPRegressor,0.4530719386172091,0.4551773217195179
KNeighborsRegressor,0.4224284773396637,0.3378096065942394
LinearSVR,0.659972770509162,0.6578085342500064
HuberRegressor,0.4850015664578793,0.4847023279921886
TheilSenRegressor,0.7046000729885616,0.6997936558708977
BayesianRidge,0.4739633673462115,0.4736262452024101
LinearRegression,0.47398361491069024,0.47364638036704265
SGDRegressor,337713576272749.1,337369234559668.4
ARDRegression,0.4749779602084585,0.47431197384519797
RANSACRegressor,0.6547003271075833,0.6330687059674209
PLSRegression,0.48952226481204636,0.4894638845140415
PassiveAggressiveRegressor,0.5233997959451742,0.5212467681834648
TweedieRegressor,0.4793736977395221,0.47860987549082123
AdaBoostRegressor,1.5529599860955763,1.566325512256363
ElasticNet,0.5619927470474203,0.5612042812300542
XGBRegressor,0.34777705591505825,0.32945811100767564
LGBMRegressor,0.3445462280364181,0.34048113602593766
CatBoostRegressor,0.33310469142245497,0.3287526615301415
WeightKNN,0.4224284773396637,0.3378096065942394
Multilayer Perceptron,0.39531675974527997,0.39153327697362655


