epoch_list,train_loss_list,test_loss_list,mae_train_loss_list,mae_test_loss_list
0,327.1321972812343,2.1693482633329864,9.201171758847359,1.1281211253924248
1,1.3283288621494913,0.9575436313947042,0.7795184494083763,0.5768194157853086
2,0.9100576985595573,0.8822427570310414,0.5533119967350593,0.5512405598265493
3,0.8736788579541394,0.8659546517918253,0.5354689204285288,0.5395563741525015
4,0.8593088729768736,0.8569078272224492,0.5289554565380781,0.5448648114489694
5,0.8476138774655823,0.846128624983323,0.5239469582199031,0.5415554212199317
6,0.8370007459933941,0.8302559485802283,0.5201327734523349,0.5173156969567649
7,0.8251832800033765,0.823468125019318,0.514517513095823,0.49897857558014047
8,0.8196154690196371,0.841153997131902,0.5121620503755716,0.5689304567809798
9,0.8071817154558296,0.8226880316550915,0.5074216081545904,0.48238755163983404
10,0.8011540602415036,0.7949826327654032,0.5043885404737587,0.49714287453227574
11,0.7962945699691772,0.7890228504299098,0.501936305537183,0.5064837188802214
12,0.7857585014441074,0.7816622853279114,0.49784332946834403,0.49231286181343925
13,0.7846983704302046,0.7770947554172614,0.49839433136149347,0.48440839795984775
14,0.7760430217808129,0.7752866039418767,0.4937283422192957,0.4770655379845546
15,0.7710486673391782,0.785559510318642,0.49264368389406776,0.46944926233373135
16,0.7761258584821326,0.7709030391823533,0.4960476677132468,0.4710721969604492
17,0.7709839035812606,0.8461296683193272,0.49360621663240284,0.4857544690115839
18,0.7798084509678376,0.7578667203585306,0.5013141835856642,0.4937570762430501
19,0.7622119583125807,0.7547475173432603,0.490124752633592,0.47629963995045066
20,0.7867123734237801,0.7692116689987671,0.5072632752932035,0.5245336324740679
21,0.77198087481352,0.7609775349115714,0.4979995305721576,0.46555330457850397
22,0.7780512120479193,0.8317057179589556,0.5021353442954202,0.5986704311819158
23,0.7993304011149284,0.7492009070184495,0.5189405053089826,0.4952739011018704
24,0.8054216598343645,0.9712598298349951,0.5240299900372823,0.5668264469529829
25,1.3212879269551008,0.743377535771101,0.8146659347236666,0.47662220500473285
26,2.2063014754372783,1.070340055685777,1.1060600031135428,0.7833614919939612
27,1.864917950752454,11.946088277376615,0.9930706734840686,3.3470356464385986
28,2.8465710177890258,0.8976353880686637,1.0512609127749744,0.5241175681097895
29,2.0034748025429554,1.363555469064631,1.0328616082158864,0.9551545656644381
30,1.968237047521477,1.1045591668186026,1.085354046179698,0.6528509702437963
31,2.261529337137173,1.3356217910081913,1.1756590202323391,0.9407074288425282
32,2.4410949917430553,0.9723630155253614,1.0483818469393966,0.7167960186289926
33,2.371728230235923,5.264360040680975,0.975129269891315,2.19210101192833
34,1.2595792978237836,0.741262991204221,0.7621617717111212,0.4625217438253582
35,1.7850035951178298,1.161141668120001,0.9265146021150116,0.8417612395734868
36,1.9632612329262953,1.9541374628360455,1.040223132341336,1.2283356892756927
37,2.0756861511458697,0.9391566061566019,1.0177128727619464,0.5520283732658777
38,1.6475637206155012,0.7897707040493305,0.9512193146933857,0.5611051305746421
39,1.7382811305359898,0.8030833393080622,0.9640434068492335,0.5754607732479389
40,1.9942923949824438,1.259990071129595,1.0335874203433337,0.9009866755232852
41,1.6940561033721664,4.309717846731854,0.9451870197414333,1.9649194040869036
42,1.5412043343242416,0.9832238789297577,0.8917783860467438,0.7268255979586871
43,1.9278851174391234,0.7317634074606447,0.9462974074049892,0.46223290761311847
44,1.3540690469945598,0.9935081106984717,0.8251013985046973,0.5872441662682427
45,1.8513273510158572,0.7310436895260444,0.8916474338780102,0.4833327210866488
46,1.7906657918396158,1.339790889340588,0.9071339516558199,0.9463573729890025
47,1.1965581871505477,1.6342116798091137,0.7543053392671112,1.0928332010904949
48,1.6828974151713216,3.4682583360590487,0.9308482782962995,1.6571605266668858
49,1.7111754295153496,1.6229147106154351,0.9534910940206968,0.9566357461815207
50,1.2148725469397683,0.8313569518236014,0.7337385785375905,0.6103407638704675
51,1.5152864856088264,1.4622743302940304,0.8754304329044799,1.012450749038631
52,1.5267158914835026,0.7345802320374383,0.9084309634999332,0.5076626722629254
53,1.5302625201706193,0.8056619358368409,0.8886805683629125,0.5891034226132255
54,1.35419392076313,1.1351675442141345,0.8193670972290202,0.6879755278937837
55,1.30720099603009,1.0932856135898166,0.794976258634502,0.8087399199477627
56,1.327977583449111,1.0470710513938186,0.8192567512010916,0.6338279985973978
57,1.472222365375258,0.9790272666857793,0.8740832912616241,0.7329262123148665
58,1.3743279823380659,2.6836745290674715,0.8108411889809829,1.4075341999021351
59,1.2118373500485706,0.8096434820411552,0.7536975382230221,0.4857303915370224
60,1.2823040289247138,2.6060077227078953,0.7834126903460576,1.4756437132501194
61,1.1957974492484689,1.0910320409342773,0.7414850467800075,0.6667058304843739
62,1.2389946554461095,0.8634879487192529,0.7820307418831394,0.6458694965411456
63,1.2017476041602273,1.805602443523896,0.7208858552651528,1.1738502520781298
64,1.3229546574955313,1.2453808662218926,0.7506487417934288,0.9021869821426196
65,1.397270750031512,0.8435283499395746,0.8114828431708181,0.5063293889547006
66,1.0205692241334507,0.7825888056530912,0.670368659700084,0.4719821912610633
67,1.1740091348815167,0.9144590232107375,0.7559178448640383,0.5535857641798818
68,1.0534426042666802,0.7181784640520047,0.6711336539851295,0.4418471037832081
69,1.1567651091987252,2.182184360985063,0.7179506996757964,1.3253755477758555
70,1.1926510038538876,0.9271281748755366,0.7455177230712695,0.6978120396279881
71,1.2843950948654077,0.7128782977915218,0.7236456606123183,0.49167089686434495
72,1.0264082884686625,3.9207577175564237,0.658484149692405,1.8682315645054874
73,1.039104110410071,0.6930612891148298,0.6465924254849426,0.45796807759847397
74,1.0127378016965003,0.7044360945876847,0.6527096269986569,0.4849377315268557
75,1.0689696356272087,0.8075202611776499,0.6795052735724001,0.6003095685926259
76,1.2421764614235642,0.7515368395381503,0.75595822930336,0.5428868022739378
77,0.8160411835226238,1.0338186723554237,0.545582140612806,0.6364264289538065
78,1.2226470260538607,0.6941967530128283,0.76377272605896,0.4366563892262614
79,0.9488566189240186,0.9419371898357685,0.6282481678530701,0.7132475427073292
80,1.0974474131551564,0.7248352867925268,0.7175123077681941,0.5133937041983645
81,0.929850201576184,1.0913439428704417,0.6185485172984947,0.6757410642428275
82,1.043916925151124,1.1705926172753685,0.6716832021872202,0.8600461483001709
83,0.9986815500972618,1.1295647580399473,0.6464546511315892,0.7012362663562481
84,0.99482047990856,0.7565294695206177,0.6564406974193377,0.5528670605431255
85,1.003353783972243,0.7180625169705122,0.658263813226651,0.4385618478314489
86,0.9481923024878542,0.7979436557517092,0.6332810594994798,0.4904977332832467
87,0.933051065247283,0.686024471735343,0.6233314089795463,0.45872736919639456
88,0.9405984962597872,0.7751250562504826,0.6300616373873165,0.47128532100946474
